API ID,API-ID,
API Key,API-Schlüssel,
API Password,API-Passwort,
API Secret,API-Geheimnis,
Carrier,Dienstleister,
Creating Shipment,Sendung wird erstellt,
Delivery Type,Art der Lieferung,
Enabled,Aktiviert,
Fetch Shipping Rates,Versandtarife abrufen,
Fetching Shipping Rates,Versandtarife werden abgerufen,
Incomplete Shipment,Unvollständige Sendung,
No Preferred Services Available,Keine bevorzugten Dienste verfügbar,
No Services Available,Keine Dienste verfügbar,
No Shipment Services available,Keine Versanddienste verfügbar,
Other Services,Andere Dienste,
Parcel Service Type,Paketdiensttyp,
Parcel Service,Paketdienst,
Parcel Service,Sendungstyp,
Platform,Plattform,
Please complete Shipment (ID: {0}) on {1} and Update Tracking.,Bitte vervollständigen Sie die Sendung (ID: {0}) bei {1} und aktualisieren Sie das Tracking.,
Please log in as a regular user to use the shipping integration.,"Bitte melden Sie sich als regulärer Benutzer an, um die Versandintegration zu verwenden.",
Preferred Services,Bevorzugte Dienste,
Price,Preis,
Print Shipping Label,Versandetikett drucken,
Printing Shipping Label,Versandetikett wird gedruckt,
Select Service to Create Shipment,"Wählen Sie einen Dienst aus, um eine Sendung zu erstellen",
Select,Auswählen,
Shipment {1} has been created with {0}.,Sendung {1} via {0} wurde erstellt.,
Shipment already created,Sendung wurde bereits erstellt,
Track Status,Status verfolgen,
Tracking Number,Sendungsnummer,
Tracking Status Information,Tracking-Statusinformation,
Tracking Status,Tracking-Status,
Tracking URL,Tracking-URL,
Update Tracking,Tracking aktualisieren,
Updating Tracking,Tracking wird aktualisiert,
Use Test Environment,Testumgebung verwenden,
Parcel row {idx}: {field_label} must be at least 1 cm.,Paketzeile {idx}: {field_label} muss mindestens 1 cm betragen.,
Pickup contact phone is required.,Telefonnummer des Abholkontakts ist erforderlich.,
Pickup contact phone must consist of a '+' followed by one or more digits.,Telefonnummer des Abholkontakts muss aus einem '+' gefolgt von einer oder mehreren Ziffern bestehen.,
